dataset,path,bytes,log_bytes,shard_idx,shard_total,mean_episode_steps,mean_reward_mean,mean_reward_max,mean_reward_final,mean_action_abs_mean,mean_action_std,mean_instruction_units,mean_instruction_unique,mean_terminal_rate,records_decoded,instruction_hashes,instruction_hash_count,record_parse_ok,record_scan_complete,record_parse_error,tail_score,source_target,qtail_target,source_pred,qtail_pred
austin_buds_dataset_converted_externally_to_rlds,/Volumes/ORICO/qtail_full_training/data/openx_demo/austin_buds_dataset_converted_externally_to_rlds/0.1.0/austin_buds_dataset_converted_externally_to_rlds-train.tfrecord-00000-of-00016,30536839,17.23444438154339,0.0,16.0,640.0,0.0015625000232830644,1.0,1.0,0.30992475152015686,0.5038445591926575,110.0,1.0,0.0015625,1,['adea76fe0a27f072b1c5d4f6a9acbc93b76b47fd8e9a968351a5d872c364c4bc'],1,1,0,,0.6458504796028137,2.378845056227874e-05,0.001133425859734416,2.3787610189174302e-05,0.0011507674353197217
austin_buds_dataset_converted_externally_to_rlds,/Volumes/ORICO/qtail_full_training/data/openx_demo/austin_buds_dataset_converted_externally_to_rlds/0.1.0/austin_buds_dataset_converted_externally_to_rlds-train.tfrecord-00001-of-00016,39517083,17.49224364269656,1.0,16.0,827.0,0.0012091898825019598,1.0,1.0,0.2964755892753601,0.4876174330711365,110.0,1.0,0.0012091898428053204,1,['adea76fe0a27f072b1c5d4f6a9acbc93b76b47fd8e9a968351a5d872c364c4bc'],1,1,0,,0.6544283628463745,3.078413647017442e-05,0.0015865587629377842,3.083969568251632e-05,0.0015735127963125706
austin_buds_dataset_converted_externally_to_rlds,/Volumes/ORICO/qtail_full_training/data/openx_demo/austin_buds_dataset_converted_externally_to_rlds/0.1.0/austin_buds_dataset_converted_externally_to_rlds-train.tfrecord-00002-of-00016,221215409,19.21464749064705,2.0,16.0,667.0,0.0015249064017552882,1.0,1.0,0.3135944977402687,0.5047538876533508,110.0,1.0,0.0015249064182335894,4,['adea76fe0a27f072b1c5d4f6a9acbc93b76b47fd8e9a968351a5d872c364c4bc'],1,1,0,,0.5973671674728394,0.00017232864047400653,0.0007611378096044064,0.000172455795109272,0.0007656770176254213
austin_buds_dataset_converted_externally_to_rlds,/Volumes/ORICO/qtail_full_training/data/openx_demo/austin_buds_dataset_converted_externally_to_rlds/0.1.0/austin_buds_dataset_converted_externally_to_rlds-train.tfrecord-00003-of-00016,153237251,18.84749794498127,3.0,16.0,654.75,0.0015347620355896652,1.0,1.0,0.3176339492201805,0.5073637515306473,110.0,1.0,0.0015347620469099385,4,['adea76fe0a27f072b1c5d4f6a9acbc93b76b47fd8e9a968351a5d872c364c4bc'],1,1,0,,0.5968105792999268,0.00011937308590859175,0.0007457411848008633,0.00011940015247091651,0.0007456730818375945
austin_buds_dataset_converted_externally_to_rlds,/Volumes/ORICO/qtail_full_training/data/openx_demo/austin_buds_dataset_converted_externally_to_rlds/0.1.0/austin_buds_dataset_converted_externally_to_rlds-train.tfrecord-00004-of-00016,195518261,19.091164344791792,4.0,16.0,665.25,0.0015193029830697924,1.0,1.0,0.3127361163496971,0.5058780610561371,110.0,1.0,0.0015193029782499157,4,['adea76fe0a27f072b1c5d4f6a9acbc93b76b47fd8e9a968351a5d872c364c4bc'],1,1,0,,0.5972786545753479,0.00015231034194584936,0.0007553061586804688,0.0001523886458016932,0.0007567262509837747
austin_buds_dataset_converted_externally_to_rlds,/Volumes/ORICO/qtail_full_training/data/openx_demo/austin_buds_dataset_converted_externally_to_rlds/0.1.0/austin_buds_dataset_converted_externally_to_rlds-train.tfrecord-00005-of-00016,65040824,17.990525707625228,5.0,16.0,689.0,0.0014524833532050252,1.0,1.0,0.2993287891149521,0.4917520135641098,110.0,1.0,0.0014524833459819545,2,['adea76fe0a27f072b1c5d4f6a9acbc93b76b47fd8e9a968351a5d872c364c4bc'],1,1,0,,0.6259905695915222,5.066734229330905e-05,0.0008830620208755136,5.06257129018195e-05,0.0008856041822582483
austin_buds_dataset_converted_externally_to_rlds,/Volumes/ORICO/qtail_full_training/data/openx_demo/austin_buds_dataset_converted_externally_to_rlds/0.1.0/austin_buds_dataset_converted_externally_to_rlds-train.tfrecord-00006-of-00016,56816675,17.85534043215111,6.0,16.0,601.0,0.0016759620630182326,1.0,1.0,0.3290152996778488,0.5194186568260193,110.0,1.0,0.001675962074735081,2,['adea76fe0a27f072b1c5d4f6a9acbc93b76b47fd8e9a968351a5d872c364c4bc'],1,1,0,,0.6220070719718933,4.426066152518615e-05,0.0008468562737107277,4.420633558765985e-05,0.0008383348467759788
austin_buds_dataset_converted_externally_to_rlds,/Volumes/ORICO/qtail_full_training/data/openx_demo/austin_buds_dataset_converted_externally_to_rlds/0.1.0/austin_buds_dataset_converted_externally_to_rlds-train.tfrecord-00007-of-00016,61785037,17.93917178955625,7.0,16.0,661.0,0.0015153877320699394,1.0,1.0,0.31499083340168,0.5063163042068481,110.0,1.0,0.0015153877191695399,2,['adea76fe0a27f072b1c5d4f6a9acbc93b76b47fd8e9a968351a5d872c364c4bc'],1,1,0,,0.6249665021896362,4.8131056246347725e-05,0.0008644297486171126,4.808795711142011e-05,0.0008723025093786418
austin_buds_dataset_converted_externally_to_rlds,/Volumes/ORICO/qtail_full_training/data/openx_demo/austin_buds_dataset_converted_externally_to_rlds/0.1.0/austin_buds_dataset_converted_externally_to_rlds-train.tfrecord-00008-of-00016,35157866,17.375358963412012,8.0,16.0,746.0,0.0013404826167970896,1.0,1.0,0.31794002652168274,0.5066230297088623,110.0,1.0,0.0013404825737265416,1,['adea76fe0a27f072b1c5d4f6a9acbc93b76b47fd8e9a968351a5d872c364c4bc'],1,1,0,,0.6513875722885132,2.7388268790673465e-05,0.0014233338879421353,2.74231697403593e-05,0.001406187075190246
austin_buds_dataset_converted_externally_to_rlds,/Volumes/ORICO/qtail_full_training/data/openx_demo/austin_buds_dataset_converted_externally_to_rlds/0.1.0/austin_buds_dataset_converted_externally_to_rlds-train.tfrecord-00009-of-00016,30442525,17.23135107043208,9.0,16.0,643.0,0.0015552099794149399,1.0,1.0,0.3177090883255005,0.5096192359924316,110.0,1.0,0.0015552099533437014,1,['adea76fe0a27f072b1c5d4f6a9acbc93b76b47fd8e9a968351a5d872c364c4bc'],1,1,0,,0.6462075710296631,2.371497976128012e-05,0.0011495213257148862,2.3714084818493575e-05,0.001162941800430417
